taskName	junk	item	start_fr	start_s	end_fr	end_s	stratum	judgement
vbs22-avs-01	0	07679	3744	124.958	3773	125.925	1	1
vbs22-avs-01	0	02766	5068	169.135	5405	180.38	1	0
vbs22-avs-01	0	00956	673	26.92	1183	47.32	1	1
vbs22-avs-01	0	07766	3922	163.621	4069	169.752	1	0
vbs22-avs-01	0	12447	7426	297.04	7502	300.08	1	0
vbs22-avs-01	0	01008	4465	149.015	4520	150.85	1	0
vbs22-avs-01	0	01008	5314	177.343	5491	183.249	1	1
vbs22-avs-01	0	07679	6832	227.994	6861	228.962	1	1
vbs22-avs-01	0	00956	3822	152.88	3997	159.88	1	1
vbs22-avs-01	0	04740	10204	425.633	10255	427.76	1	0
vbs22-avs-01	0	12695	2060	82.4	2416	96.64	1	0
vbs22-avs-01	0	04740	5744	239.614	5786	241.366	1	0
vbs22-avs-01	0	07679	3504	116.95	3534	117.951	1	1
vbs22-avs-01	0	15306	2364	78.912	2376	79.312	1	0
vbs22-avs-01	0	00956	3997	159.92	4159	166.36	1	1
vbs22-avs-01	0	01008	7519	250.917	7852	262.028	1	1
vbs22-avs-01	0	00494	357	14.931	390	16.307	1	1
vbs22-avs-01	0	04299	10574	352.852	10600	353.72	1	0
vbs22-avs-01	0	00454	5011	167.066	5160	172.033	1	1
vbs22-avs-01	0	00494	1364	56.931	1395	58.224	1	1
vbs22-avs-01	0	01689	5452	218.08	5470	218.8	1	1
vbs22-avs-01	0	07134	24541	818.884	24747	825.758	1	1
vbs22-avs-01	0	00499	4251	170.04	4512	180.48	1	0
vbs22-avs-01	0	12207	2593	103.72	2635	105.4	1	0
vbs22-avs-01	0	00501	3250	135.593	3340	139.347	1	1
vbs22-avs-01	0	01090	32894	1315.76	32935	1317.4	1	1
vbs22-avs-01	0	00361	437	17.48	461	18.44	1	1
vbs22-avs-01	0	09678	11507	460.28	12232	489.28	1	1
vbs22-avs-01	0	12207	2660	106.4	2774	110.96	1	0
vbs22-avs-01	0	09994	2077	69.336	2087	69.669	1	1
vbs22-avs-01	0	04299	10601	353.753	10636	354.921	1	1
vbs22-avs-01	0	09526	111	4.671	199	8.341	1	1
vbs22-avs-01	0	15035	5883	245.411	6017	251.0	1	1
vbs22-avs-01	0	11485	2318	92.72	2330	93.2	1	1
vbs22-avs-01	0	07134	27125	905.104	27250	909.275	1	1
vbs22-avs-01	0	12207	2593	103.72	2635	105.4	1	0
vbs22-avs-01	0	07134	27251	909.308	27600	920.92	1	1
vbs22-avs-01	0	00659	7510	313.271	7524	313.855	1	1
vbs22-avs-01	0	01560	322	12.88	387	15.48	1	1
vbs22-avs-01	0	01560	256	10.24	275	11.0	1	0
vbs22-avs-01	0	16779	22081	883.24	22090	883.6	1	1
vbs22-avs-01	0	12710	3098	103.403	3402	113.546	1	1
vbs22-avs-01	0	01783	13159	526.36	13233	529.32	1	0
vbs22-avs-01	0	03587	3688	153.862	3713	154.904	1	1
vbs22-avs-01	0	01090	20759	830.36	20802	832.08	1	0
vbs22-avs-01	0	01370	5291	211.64	6027	241.08	1	1
vbs22-avs-01	0	02016	3576	143.04	3582	143.28	1	1
vbs22-avs-01	0	12441	1759	73.333	1828	76.208	1	1
vbs22-avs-01	0	00607	4192	139.906	4683	156.289	1	1
vbs22-avs-01	0	07583	3016	120.64	3051	122.04	1	0
vbs22-avs-01	0	06819	5208	217.0	5421	225.916	1	1
vbs22-avs-01	0	12207	2887	115.48	2947	117.88	1	0
vbs22-avs-01	0	09994	2055	68.601	2067	69.002	1	1
vbs22-avs-01	0	11150	2232	93.134	2319	96.763	1	0
vbs22-avs-01	0	11248	108	3.6	256	8.566	1	1
vbs22-avs-01	0	07110	15809	632.36	15986	639.44	1	1
vbs22-avs-01	0	00510	1206	48.24	1324	52.96	1	1
vbs22-avs-01	0	07134	25462	849.615	25562	852.952	1	1
vbs22-avs-01	0	00013	4894	195.76	5427	217.08	1	1
vbs22-avs-01	0	00973	6939	289.456	6944	289.664	1	1
vbs22-avs-01	0	03587	1360	56.765	1409	58.808	1	1
vbs22-avs-01	0	07134	23807	794.393	24540	818.851	1	1
vbs22-avs-01	0	12207	3036	121.44	3060	122.4	1	1
vbs22-avs-01	0	04430	3049	127.21	3165	132.048	1	1
vbs22-avs-01	0	09994	3783	126.259	3794	126.626	1	1
vbs22-avs-01	0	00602	971	38.84	1691	67.64	1	0
vbs22-avs-01	0	00616	3947	157.88	4207	168.28	1	0
vbs22-avs-01	0	16330	2430	97.2	2457	98.28	1	0
vbs22-avs-01	0	14879	18837	785.701	19327	806.138	1	0
vbs22-avs-01	0	13619	29835	1243.166	29871	1244.666	1	1
vbs22-avs-01	0	06726	9818	327.627	9912	330.763	1	1
vbs22-avs-01	0	02770	780	26.026	1134	37.871	1	1
vbs22-avs-01	0	12207	3107	124.28	3204	128.2	1	1
vbs22-avs-01	0	13208	4164	166.56	4181	167.24	1	0
vbs22-avs-01	0	09994	3924	130.964	3938	131.431	1	1
vbs22-avs-01	0	09994	4262	142.242	4276	142.709	1	1
vbs22-avs-01	0	13271	19396	647.213	19403	647.446	1	1
vbs22-avs-01	0	00031	346	14.472	393	16.433	1	1
vbs22-avs-01	0	00616	1244	49.76	1311	52.44	1	0
vbs22-avs-01	0	09994	4277	142.742	4287	143.076	1	1
vbs22-avs-01	0	09994	4314	143.977	4328	144.444	1	1
vbs22-avs-01	0	09994	4129	137.804	4147	138.405	1	0
vbs22-avs-01	0	13942	12153	506.923	12884	537.411	1	1
vbs22-avs-01	0	00031	236	9.884	286	11.97	1	1
vbs22-avs-01	0	12207	3247	129.88	3278	131.12	1	1
vbs22-avs-01	0	12050	7836	313.44	8093	323.72	1	1
vbs22-avs-01	0	09994	4355	145.345	4366	145.712	1	1
vbs22-avs-01	0	09994	4166	139.039	4180	139.506	1	0
vbs22-avs-01	0	14777	0	0.0	471	15.7	1	0
vbs22-avs-01	0	01576	8924	297.797	9658	322.288	1	1
vbs22-avs-01	0	08816	25312	844.61	25456	849.415	1	0
vbs22-avs-01	0	09994	4367	145.745	4380	146.179	1	0
vbs22-avs-01	0	01576	8203	273.74	8923	297.764	1	0
vbs22-avs-01	0	05906	5239	209.56	5285	211.4	1	0
vbs22-avs-01	0	03844	3778	157.615	3804	158.7	1	0
vbs22-avs-01	0	06406	414	17.291	457	19.083	1	1
vbs22-avs-01	0	05906	4904	196.16	4962	198.48	1	0
vbs22-avs-01	0	03918	49335	1646.177	49362	1647.078	1	1
vbs22-avs-01	0	03075	1699	70.904	1725	71.988	1	1
vbs22-avs-01	0	06406	2929	122.083	2955	123.166	1	1
vbs22-avs-01	0	02045	1813	75.463	1842	76.67	1	1
vbs22-avs-01	0	02408	1932	77.28	1980	79.24	1	1
vbs22-avs-01	0	01576	9660	322.322	10394	346.846	1	1
vbs22-avs-01	0	02408	1310	52.4	1357	54.28	1	1
vbs22-avs-01	0	00361	3322	132.88	3397	135.88	1	1
vbs22-avs-01	0	14777	7101	236.733	7833	261.1	1	1
vbs22-avs-01	0	00148	3975	165.832	4061	169.419	1	1
vbs22-avs-01	0	00031	864	36.077	987	41.207	1	1
vbs22-avs-01	0	02408	1303	52.12	1309	52.36	1	1
vbs22-avs-01	0	09994	4441	148.214	4458	148.782	1	0
vbs22-avs-01	0	06494	2708	90.39	2813	93.893	1	0
vbs22-avs-01	0	14669	1960	81.79	1974	82.373	1	1
vbs22-avs-01	0	06405	4747	189.88	4765	190.6	1	1
vbs22-avs-01	0	01761	3507	140.28	3596	143.84	1	1
vbs22-avs-01	0	05906	5022	200.88	5083	203.32	1	0
vbs22-avs-01	0	01576	11117	370.97	11844	395.228	1	1
vbs22-avs-01	0	03070	22007	917.764	22021	918.348	1	1
vbs22-avs-01	0	07134	28092	937.369	28830	961.994	1	1
vbs22-avs-01	0	08318	13165	526.6	13177	527.08	1	0
vbs22-avs-01	0	01308	17147	685.88	17160	686.4	1	1
vbs22-avs-01	0	02408	1291	51.64	1302	52.08	1	1
vbs22-avs-01	0	04299	5631	187.921	5837	194.794	1	1
vbs22-avs-01	0	03844	4850	202.327	4907	204.704	1	1
vbs22-avs-01	0	01576	10395	346.879	11116	370.937	1	1
vbs22-avs-01	0	14777	14089	469.666	14817	493.933	1	1
vbs22-avs-01	0	06059	2787	111.48	3024	120.96	1	0
vbs22-avs-01	0	03160	4939	206.039	4984	207.916	1	0
vbs22-avs-01	0	02408	1916	76.64	1930	77.24	1	1
vbs22-avs-01	0	04767	3972	158.92	3997	159.92	1	1
vbs22-avs-01	0	02064	735	24.533	744	24.833	1	-1
vbs22-avs-01	0	03944	4774	190.96	4807	192.28	1	1
vbs22-avs-01	0	12207	3458	138.32	3471	138.84	1	1
vbs22-avs-01	0	09994	6384	213.046	6394	213.38	1	1
vbs22-avs-01	0	05906	5239	209.56	5285	211.4	1	0
vbs22-avs-01	0	04582	1171	46.84	1411	56.44	1	-1
vbs22-avs-01	0	14887	16623	554.687	16801	560.626	1	0
vbs22-avs-01	0	15476	7739	309.56	7952	318.08	1	1
vbs22-avs-01	0	05906	7070	282.8	7093	283.72	1	0
vbs22-avs-01	0	00148	4932	205.747	4951	206.539	1	1
vbs22-avs-01	0	02045	1813	75.463	1842	76.67	1	1
vbs22-avs-01	0	00501	17	0.75	132	5.547	1	1
vbs22-avs-01	0	15655	188	7.882	415	17.35	1	1
vbs22-avs-01	0	14907	3291	109.843	4030	134.501	1	1
vbs22-avs-01	0	05368	7170	286.8	7181	287.24	1	0
vbs22-avs-01	0	05368	7094	283.76	7169	286.76	1	0
vbs22-avs-01	0	03589	3360	112.112	3418	114.08	1	1
vbs22-avs-01	0	09994	4467	149.082	4484	149.649	1	0
vbs22-avs-01	0	05368	7181	287.28	7212	288.48	1	0
vbs22-avs-01	0	06494	3052	101.868	3112	103.87	1	0
vbs22-avs-01	0	03587	3652	152.36	3687	153.82	1	1
vbs22-avs-01	0	05368	7213	288.52	7279	291.16	1	0
vbs22-avs-01	0	04299	5562	185.618	5603	186.986	1	0
vbs22-avs-01	0	14777	9720	324.0	10446	348.2	1	1
vbs22-avs-01	0	09487	5988	239.52	6010	240.4	1	0
vbs22-avs-01	0	13956	4733	189.32	5057	202.28	1	0
vbs22-avs-01	0	05368	7325	293.0	7381	295.28	1	0
vbs22-avs-01	0	05368	7280	291.2	7317	292.68	1	0
vbs22-avs-01	0	11402	3805	158.741	3990	166.457	1	1
vbs22-avs-01	0	13262	490	20.478	497	20.77	1	0
vbs22-avs-01	0	03587	3840	160.201	3859	160.994	1	1
vbs22-avs-01	0	12207	3745	149.8	3824	152.96	1	0
vbs22-avs-01	0	09526	2915	121.621	2937	122.539	1	1
vbs22-avs-01	0	02575	4059	162.36	4120	164.8	1	1
vbs22-avs-01	0	08946	5672	236.611	5864	244.619	1	1
vbs22-avs-01	0	04430	1444	60.268	1674	69.861	1	1
vbs22-avs-01	0	14068	16031	641.24	16047	641.88	1	0
vbs22-avs-01	0	02016	3636	145.44	3872	154.92	1	0
vbs22-avs-01	0	09994	6291	209.943	6305	210.41	1	0
vbs22-avs-01	0	13262	5138	214.339	5170	215.673	1	1
vbs22-avs-01	0	00501	3250	135.593	3340	139.347	1	1
vbs22-avs-01	0	04357	3492	139.68	3696	147.84	1	0
vbs22-avs-01	0	02408	1273	50.92	1290	51.6	1	1
vbs22-avs-01	0	06611	1831	76.333	1876	78.208	1	1
vbs22-avs-01	0	01689	5452	218.08	5470	218.8	1	1
vbs22-avs-01	0	03587	3948	164.706	3986	166.291	1	1
vbs22-avs-01	0	00602	7917	316.68	8653	346.12	1	0
vbs22-avs-01	0	00031	6731	280.78	6757	281.864	1	1
vbs22-avs-01	0	06245	8329	333.16	8340	333.6	1	1
vbs22-avs-01	0	03070	22057	919.849	22066	920.225	1	1
vbs22-avs-01	0	13690	2986	124.582	3707	154.654	1	0
vbs22-avs-01	0	01090	32062	1282.48	32137	1285.48	1	0
vbs22-avs-01	0	00148	8842	368.826	8960	373.748	1	1
vbs22-avs-01	0	00031	5459	227.727	5510	229.854	1	1
vbs22-avs-01	0	00659	5073	211.628	5104	212.921	1	1
vbs22-avs-01	0	04299	8730	291.324	9070	302.669	1	1
vbs22-avs-01	0	12207	3938	157.52	3969	158.76	1	0
vbs22-avs-01	0	07241	333	13.93	352	14.723	1	1
vbs22-avs-01	0	03587	896	37.412	994	41.499	1	1
vbs22-avs-01	0	09994	6332	211.311	6343	211.678	1	1
vbs22-avs-01	0	03587	3904	162.871	3947	164.664	1	1
vbs22-avs-01	0	00031	6346	264.722	6410	267.392	1	1
vbs22-avs-01	0	01496	1746	58.291	1880	62.762	1	1
vbs22-avs-01	0	06220	264	11.011	724	30.238	1	1
vbs22-avs-01	0	00607	10922	364.464	11643	388.521	1	1
vbs22-avs-01	0	02045	3323	138.281	3343	139.113	1	1
vbs22-avs-01	0	03157	11364	454.56	11423	456.92	1	1
vbs22-avs-01	0	10583	8587	286.266	9310	310.366	1	1
vbs22-avs-01	0	02045	1843	76.711	1867	77.71	1	1
vbs22-avs-01	0	08792	799	26.693	867	28.962	1	1
vbs22-avs-01	0	04715	2063	82.52	2100	84.0	1	1
vbs22-avs-01	0	07583	3557	142.28	3584	143.36	1	1
vbs22-avs-01	0	05906	2300	92.0	2349	93.96	1	1
vbs22-avs-01	0	07413	8717	363.613	8739	364.53	1	1
vbs22-avs-01	0	12207	4145	165.8	4192	167.68	1	1
vbs22-avs-01	0	06572	4992	208.249	5086	212.17	1	1
vbs22-avs-01	0	04869	5432	226.601	5444	227.102	1	1
vbs22-avs-01	0	03070	22044	919.307	22056	919.808	1	1
vbs22-avs-01	0	10583	3459	115.333	4194	139.8	1	1
vbs22-avs-01	0	01498	488	20.395	594	24.816	1	1
vbs22-avs-01	0	00031	2767	115.448	2782	116.074	1	1
vbs22-avs-01	0	00494	357	14.931	390	16.307	1	1
vbs22-avs-01	0	01861	2034	81.36	2098	83.92	1	1
vbs22-avs-01	0	02408	1256	50.24	1272	50.88	1	1
vbs22-avs-01	0	07134	26670	889.889	26746	892.458	1	1
vbs22-avs-01	0	07117	27744	1109.76	27839	1113.56	1	1
vbs22-avs-01	0	00501	3798	158.449	3928	163.872	1	1
vbs22-avs-01	0	01090	22992	919.68	23094	923.76	1	1
vbs22-avs-01	0	00031	5151	214.881	5169	215.632	1	1
vbs22-avs-01	0	04970	4979	199.16	5700	228.0	1	0
vbs22-avs-01	0	09994	6411	213.947	6426	214.447	1	1
vbs22-avs-01	0	03723	4381	182.765	4407	183.85	1	1
vbs22-avs-01	0	04970	4963	198.52	4978	199.12	1	1
vbs22-avs-01	0	03900	3741	155.916	3837	159.916	1	1
vbs22-avs-01	0	04869	5324	222.097	5337	222.639	1	1
vbs22-avs-01	0	01090	23501	940.04	23544	941.76	1	1
vbs22-avs-01	0	03070	23534	981.442	23549	982.068	1	1
vbs22-avs-01	0	06245	8748	349.92	9195	367.8	1	1
vbs22-avs-01	0	04582	3681	147.24	3839	153.56	1	1
vbs22-avs-01	0	02408	1242	49.68	1255	50.2	1	1
vbs22-avs-01	0	12207	4348	173.92	4405	176.2	1	0
vbs22-avs-01	0	04869	5389	224.808	5404	225.433	1	1
vbs22-avs-01	0	04970	4959	198.36	4962	198.48	1	-1
vbs22-avs-01	0	13380	888	35.52	1025	41.0	1	0
vbs22-avs-01	0	03944	4650	186.0	4691	187.64	1	1
vbs22-avs-01	0	03204	2886	96.233	2910	97.033	1	0
vbs22-avs-01	0	03587	4205	175.425	4259	177.677	1	1
vbs22-avs-01	0	05721	1855	61.928	1929	64.397	1	1
vbs22-avs-01	0	04970	4899	195.96	4958	198.32	1	-1
vbs22-avs-01	0	02045	4762	198.144	4772	198.56	1	1
vbs22-avs-01	0	05699	1188	39.672	1286	42.942	1	1
vbs22-avs-01	0	05939	2154	86.16	2293	91.72	1	1
vbs22-avs-01	0	00372	7417	296.68	7595	303.84	1	1
vbs22-avs-01	0	06726	10920	364.397	11010	367.4	1	0
vbs22-avs-01	0	06014	309	10.343	351	11.745	1	1
vbs22-avs-01	0	12495	2366	94.64	2404	96.16	1	1
vbs22-avs-01	0	03070	22036	918.974	22043	919.266	1	1
vbs22-avs-01	0	00432	3264	130.56	3297	131.88	1	1
vbs22-avs-01	0	03587	4260	177.719	4392	183.183	1	1
vbs22-avs-01	0	01223	1777	71.08	1793	71.72	1	1
vbs22-avs-01	0	03204	2913	97.133	2961	98.733	1	-1
vbs22-avs-01	0	01090	46486	1859.44	46545	1861.8	1	1
vbs22-avs-01	0	04869	5415	225.892	5431	226.559	1	1
vbs22-avs-01	0	01857	260	10.4	340	13.6	1	1
vbs22-avs-01	0	01008	6855	228.761	7028	234.534	1	1
vbs22-avs-01	0	06406	459	19.125	477	19.916	1	1
vbs22-avs-01	0	12207	3879	155.2	3936	157.48	1	1
vbs22-avs-01	0	07241	294	12.303	312	13.054	1	1
vbs22-avs-01	0	03897	670	27.986	717	29.946	1	0
vbs22-avs-01	0	09195	1849	61.728	1908	63.696	1	1
vbs22-avs-01	0	01496	604	20.186	750	25.025	1	1
vbs22-avs-01	0	07034	2674	111.569	2798	116.741	1	1
vbs22-avs-01	0	01857	3501	140.04	3547	141.92	1	1
vbs22-avs-01	0	12207	4506	180.24	4711	188.44	1	0
vbs22-avs-01	0	10583	540	18.0	1272	42.433	1	1
vbs22-avs-01	0	03070	22083	920.934	22093	921.351	1	1
vbs22-avs-01	0	04391	729	30.447	801	33.45	1	1
vbs22-avs-01	0	04804	18935	631.831	18981	633.366	1	1
vbs22-avs-01	0	03587	1668	69.611	1827	76.242	1	1
vbs22-avs-01	0	01209	8593	343.72	8881	355.24	1	1
vbs22-avs-01	0	01090	31520	1260.84	31620	1264.8	1	1
vbs22-avs-01	0	06493	11724	468.96	11820	472.8	1	1
vbs22-avs-01	0	08405	1145	38.238	1871	62.462	1	1
vbs22-avs-01	0	07272	6701	268.04	6812	272.48	1	1
vbs22-avs-01	0	09994	6471	215.949	6488	216.516	1	1
vbs22-avs-01	0	02575	8487	339.48	8768	350.72	1	1
vbs22-avs-01	0	04869	5310	221.513	5323	222.055	1	1
vbs22-avs-01	0	07370	7134	285.4	7161	286.44	1	1
vbs22-avs-01	0	04869	5533	230.814	5542	231.189	1	1
vbs22-avs-01	0	13300	1420	59.208	1455	60.666	1	1
vbs22-avs-01	0	00372	9270	370.8	9392	375.68	1	0
vbs22-avs-01	0	03070	5401	225.271	5456	227.564	1	1
vbs22-avs-01	0	01496	5305	177.043	5306	177.076	1	0
vbs22-avs-01	0	03587	4540	189.397	4597	191.774	1	1
vbs22-avs-01	0	05939	3986	159.44	4434	177.36	1	1
vbs22-avs-01	0	00921	1148	47.922	1196	49.924	1	1
vbs22-avs-01	0	03944	4774	190.96	4807	192.28	1	1
vbs22-avs-01	0	11248	7077	235.9	7141	238.066	1	1
vbs22-avs-01	0	00361	2509	100.36	2583	103.32	1	0
vbs22-avs-01	0	01090	23297	931.88	23359	934.36	1	1
vbs22-avs-01	0	04299	8010	267.267	8730	291.291	1	0
vbs22-avs-01	0	00009	3951	164.625	4413	183.875	1	1
vbs22-avs-01	0	06611	5910	246.25	5931	247.166	1	1
vbs22-avs-01	0	04867	64251	2679.843	64985	2710.416	1	0
vbs22-avs-01	0	00686	5953	238.12	5979	239.16	1	0
vbs22-avs-01	0	03723	4408	183.892	4442	185.31	1	1
vbs22-avs-01	0	12050	14638	585.56	15366	614.68	1	0
vbs22-avs-01	0	03070	21906	913.552	21975	916.43	1	1
vbs22-avs-01	0	09994	6492	216.649	6502	216.983	1	1
vbs22-avs-01	0	04869	5297	220.97	5309	221.471	1	1
vbs22-avs-01	0	12495	4869	194.76	4901	196.04	1	0
vbs22-avs-01	0	13467	7987	319.48	8076	323.04	1	1
vbs22-avs-01	0	03228	264	11.0	273	11.375	1	1
vbs22-avs-01	0	03587	795	33.199	855	35.702	1	1
vbs22-avs-01	0	08445	4674	194.791	4705	196.083	1	1
vbs22-avs-01	0	00148	8961	373.79	9690	404.195	1	0
vbs22-avs-01	0	04869	5405	225.475	5414	225.85	1	1
vbs22-avs-01	0	00864	777	31.08	873	34.92	1	1
vbs22-avs-01	0	05703	6244	260.208	6351	264.666	1	1
vbs22-avs-01	0	02045	3312	137.823	3322	138.239	1	1
vbs22-avs-01	0	04869	5501	229.479	5514	230.021	1	1
vbs22-avs-01	0	02586	1966	78.64	2078	83.12	1	1
vbs22-avs-01	0	11868	3913	163.246	3986	166.291	1	1
vbs22-avs-01	0	03918	49129	1639.304	49171	1640.705	1	1
vbs22-avs-01	0	03228	252	10.5	262	10.958	1	1
vbs22-avs-01	0	03587	2158	90.048	2201	91.841	1	1
vbs22-avs-01	0	03587	4598	191.816	4622	192.817	1	1
vbs22-avs-01	0	06726	13165	439.305	13226	441.34	1	1
vbs22-avs-01	0	00361	3018	120.72	3044	121.76	1	1
vbs22-avs-01	0	06514	2984	119.36	3708	148.32	1	1
vbs22-avs-01	0	00361	5000	200.0	5056	202.24	1	1
vbs22-avs-01	0	03918	52220	1742.44	52264	1743.908	1	1
vbs22-avs-01	0	00249	1070	42.8	1092	43.68	1	1
vbs22-avs-01	0	04869	5338	222.681	5350	223.181	1	1
vbs22-avs-01	0	03587	4119	171.838	4204	175.383	1	1
vbs22-avs-01	0	01324	499	19.96	515	20.6	1	1
vbs22-avs-01	0	10957	935	37.4	973	38.92	1	1
vbs22-avs-01	0	00067	171	6.84	235	9.4	1	1
vbs22-avs-01	0	05717	40703	1358.156	40735	1359.224	1	0
vbs22-avs-01	0	06514	1777	71.08	1970	78.8	1	1
vbs22-avs-01	0	00067	1841	73.64	1884	75.36	1	0
vbs22-avs-01	0	08816	23777	793.392	23801	794.193	1	0
vbs22-avs-01	0	10562	7886	315.44	7962	318.48	1	1
vbs22-avs-01	0	00372	4072	162.92	4156	166.24	1	-1
vbs22-avs-01	0	15035	5883	245.411	6017	251.0	1	1
vbs22-avs-01	0	02467	6389	266.516	6629	276.526	1	1
vbs22-avs-01	0	03101	17125	685.0	17568	702.72	1	1
vbs22-avs-01	0	16330	20502	820.08	20508	820.32	1	0
vbs22-avs-01	0	14879	36813	1535.45	36871	1537.869	1	0
vbs22-avs-01	0	00372	4350	174.0	4549	181.96	1	1
vbs22-avs-01	0	01370	10869	434.76	11592	463.68	1	1
vbs22-avs-01	0	09138	39566	1320.218	40282	1344.109	1	0
vbs22-avs-01	0	08554	9291	310.043	10018	334.3	1	1
vbs22-avs-01	0	09994	6700	223.59	6713	224.024	1	1
vbs22-avs-01	0	09160	9049	301.968	9686	323.222	1	1
vbs22-avs-01	0	02770	780	26.026	1134	37.871	1	1
vbs22-avs-01	0	06514	2146	85.84	2513	100.52	1	1
vbs22-avs-01	0	00067	1923	76.92	2167	86.68	1	0
vbs22-avs-01	0	09994	6671	222.622	6689	223.223	1	1
vbs22-avs-01	0	14669	3078	128.419	3185	132.882	1	1
vbs22-avs-01	0	09160	7854	262.095	8582	286.386	1	1
vbs22-avs-01	0	09160	7376	246.145	7853	262.061	1	1
vbs22-avs-01	0	09160	7147	238.504	7193	240.039	1	1
vbs22-avs-01	0	01671	3319	110.777	3360	112.145	1	1
vbs22-avs-01	0	09160	8583	286.419	8840	294.994	1	1
vbs22-avs-01	0	13467	7987	319.48	8076	323.04	1	1
vbs22-avs-01	0	12207	2423	96.92	2575	103.0	1	0
vbs22-avs-01	0	08792	766	25.592	793	26.493	1	1
vbs22-avs-01	0	08792	799	26.693	867	28.962	1	1
vbs22-avs-01	0	08816	23444	782.281	23776	793.359	1	0
vbs22-avs-01	0	08792	6549	218.551	7122	237.67	1	0
vbs22-avs-01	0	08946	1682	70.195	1941	80.997	1	1
vbs22-avs-01	0	02016	4357	174.28	4464	178.56	1	0
vbs22-avs-01	0	16818	5318	212.72	5475	219.0	1	1
vbs22-avs-01	0	04299	1895	63.263	2454	81.915	1	1
vbs22-avs-01	0	10399	7300	243.61	7517	250.85	1	1
vbs22-avs-01	0	08816	24362	812.912	24378	813.445	1	0
vbs22-avs-01	0	09232	309	12.36	426	17.04	1	0
vbs22-avs-01	0	15999	2550	106.397	2577	107.524	1	1
vbs22-avs-01	0	04145	3620	120.82	3789	126.459	1	0
vbs22-avs-01	0	12697	3530	147.272	3598	150.108	1	0
vbs22-avs-01	0	04970	4963	198.52	4978	199.12	1	1
vbs22-avs-01	0	01113	12877	515.08	13116	524.64	1	1
vbs22-avs-01	0	09341	2574	102.96	2584	103.36	1	1
vbs22-avs-01	0	08611	5624	224.96	5800	232.0	1	1
vbs22-avs-01	0	17159	3121	124.84	3843	153.72	1	0
vbs22-avs-01	0	07912	16475	687.186	16503	688.354	1	1
vbs22-avs-01	0	08816	23283	776.909	23299	777.443	1	0
vbs22-avs-01	0	16824	3774	157.25	3814	158.958	1	0
